"","study_order","ManiCheck","Exp1_check","Exp1_check_DO_1","Exp1_check_DO_2","Exp1_check_DO_3","Exp1_prob_hiring","Exp1_loyalty","Exp1_honesty","Exp2_S1_check","Exp2_S1_seen_wrong","Exp2_S1_self_action","Exp2_S1_guide_other","Exp2_S2F_check","Exp2_S2F_seen_wrong","Exp2_S2F_self_action","Exp2_S2F_guide_other","Exp2_S2M_check","Exp2_S2M_seen_wrong","Exp2_S2M_self_action","Exp2_S2M_guide_other","MASC_set1","MASC_set2","MASC_set3","BIDR_self_deceptive","BIDR_impre_manage","age","gender","origcount","residence","soc_class","engunder","funnel_pay","assignmentId","hitId","CountryCode","CountryName","condition","Exp2_S2_seen_wrong_T2","Exp2_S2_self_action_T2","Exp2_S2_guide_other_T2"
"615","Exp2First",4,1,1,3,2,7,8,8,3,7,8,9,1,7,8,8,NA,NA,NA,NA,5.0625,4.25,5.5,5,2,27,1,"US","US",4,7,7,"3H8DHMCCW9C3XW7GXUG199IQSZKKDS","3FK4G712NX151K6D9QEQ6AZH89ISS4","","","Neutral",7,8,8
"616","Exp1First",4.5,1,3,2,1,1,1,1,3,9,1,1,1,9,1,1,NA,NA,NA,NA,3.375,4.25,5.5,1,9,57,2,"United States","United States",5,7,7,"3N4BPTXIO8TPEYI2JP6QJ9MEEZFUKC","3SD15I2WD2VWU5N1CYAMXXVDY4N362","","","Neutral",9,1,1
"617","Exp1First",3.83333333333333,1,2,3,1,3,2,2,3,7,6,5,NA,NA,NA,NA,1,4,7,6,4.375,3.83333333333333,6.5,3,5,36,2,"USA","USA",2,7,6,"3IRIK4HM3ALMTPGDVURPFKVQ64OC6F","3VADEH0UHCY8OSQLH9AWB5U6LPBPSL","","","Neutral",4,7,6
"618","Exp1First",3.16666666666667,1,1,2,3,2,2,2,3,8,1,2,NA,NA,NA,NA,1,2,6,6,3.4375,3.83333333333333,4,1,4,35,2,"United States","United States",4,7,6,"3FE7TXL1LIO25P7VDAGH9C3VUFOQ2K","38F60IALAGI6FBZGPO0W69PKF0DT07","","","Neutral",2,6,6
"619","Exp1First",3.83333333333333,1,3,2,1,7,6,6,3,5,6,4,NA,NA,NA,NA,1,5,6,7,4.875,3.83333333333333,4,3,1,32,2,"usa","usa",2,7,4,"31HQ4X3T3SBKJR8GFKNRJ8H5I30LST","3HEADTGN2PT9SXN4OWJQRNESLBTVRO","","","Neutral",5,6,7
"620","Exp2First",3.33333333333333,1,3,1,2,1,1,2,3,8,1,1,1,6,1,2,NA,NA,NA,NA,3.8125,4.16666666666667,5,1,9,27,2,"United States","United States",5,7,7,"3H7Z272LX78N6ZSON3JXO3CUVJULPE","3HUR21WDDUQATN4L26C2N44A49GXYV","","","Neutral",6,1,2
"621","Exp1First",4.16666666666667,1,3,1,2,1,1,1,3,7,2,2,1,7,2,2,NA,NA,NA,NA,4.125,4,5.5,0,7,40,1,"United States","United States",4,7,5,"3IGI0VL647LV9ZJ8KGMXCVBTQ9ZNO2","37NXA7GVST7YPZSRJCMU5B5TFJ4VLY","","","Neutral",7,2,2
"622","Exp2First",4.33333333333333,1,1,3,2,1,1,1,3,7,1,3,1,1,9,9,NA,NA,NA,NA,4.1875,3.5,4.5,7,7,37,2,"United States","United States",4,7,3,"3S96KQ6I9M520FX3R3UTA05MBDEDTW","38VTL6WC4AE1R4KBW0T7VLDQBA75YU","","","Neutral",1,9,9
"623","Exp2First",4.5,1,2,1,3,1,1,1,3,9,1,1,NA,NA,NA,NA,1,1,9,1,3.375,3.58333333333333,7,1,16,70,2,"United States","United States",4,7,5,"3X31TUMD7XNKP79M2187N7UWS3Q1LS","3FVBZG9CLJFGA28LPUJ7SQMW46J0H5","","","Neutral",1,9,1
"624","Exp1First",4.16666666666667,1,1,3,2,1,2,3,3,1,9,9,NA,NA,NA,NA,1,2,7,7,4.3125,4.16666666666667,5,3,7,29,1,"United States","United States",5,7,7,"3634BBTX0OV9PLVOOXQFKT6YC9EIFV","3UL5XDRDNCKMCYTTJWVDW8POIV485J","","","Neutral",2,7,7
